Category,Lat,Long,Cases
Polio,33.4131,68.09326,25
Polio,33.4131,68.09326,80
Polio,32.54681,64.07227,37
Polio,33.65121,64.07227,14
Polio,33.93911,67.70995,26
Whooping Cough,36.73477,70.811995,350
Measles,35.16713,63.76954,6000
Measles,33.92513,66.26953,3013
Polio,34.0355327,70.57408859,10
Measles,26.41813,-0.60147,87
Measles,-11.24054,17.84369,2657
Measles,-11.12097,17.80746,1679
Measles,-13.000532,17.87389,16
Measles,-16.41808,18.80762,320
Measles,-14.92806,14.65878,35
Measles,-16.4905382,14.6223476,19
Measles,-7.17367,15.40681,45
Measles,-7.17367,15.40681,66
Polio,-11.236546,17.873887,24
Polio,-13.41099,16.78711,5
Measles,-34.60372,-58.38159,1
Measles,-34.60372,-58.38159,1
Whooping Cough,-38.4161,-63.61667,597
Whooping Cough,-23.805604,151.254637,65
Whooping Cough,-33.28462,144.31641,13167
Whooping Cough,-26.71617,122.10205,3597
Whooping Cough,-33.13755,146.42578,3722
Whooping Cough,-37.81355        ,144.95975,4606
Whooping Cough,-35.47347,149.01237,115
Whooping Cough,-37.56365,143.86719,218
Measles,-38.471308,140.785153,18
Measles,-27.672817,121.62831,2
Measles,-27.67282,121.62831,2
Measles,-30.253218,146.921099,1
Measles,-24.917574,145.902796,2
Measles,-27.47101,153.02345,3
Measles,-33.769464,150.908493,14
Measles,-37.471308,141.785153,16
Measles,-23.917574,141.702796,12
Measles,-32.253218,146.921099,29
Measles,-31.25322,146.9211,10
Measles,-20.917574,142.702796,1
Measles,-35.471308,144.785153,4
Measles,-29.532804,145.491477,1
Measles,-34.928621,138.599959,1
Measles,-19.491411,132.55096,1
Measles,-19.49141,132.55096,19
Measles,-30.000232,136.209155,2
Measles,-35.47347,149.01237,12
Measles,-34.92113,138.58377,1
Measles,-22.73591,140.018765,89
Measles,-37.96443,145.05598,2
Measles,-33.88305,151.11442,3
Measles,-34.06777,150.81319,22
Measles,-31.94725,115.86065,1
Measles,-31.94725,115.86065,1
Measles,-25.12539,144.22852,1
Measles,-31.25322,146.9211,2
Mumps,-31.25322,146.9211,15
Mumps,-41.39856, 146.49170 ,6
